150000000000.000000,5184000000.000000
149955820257.232970,10366473148.089972
149867671083.203400,15545906681.393814
149735890899.343290,20720814331.281055
149560941463.276180,25889748115.754803
149343401500.009460,31051309266.635002
149083958935.979400,36204158076.679855
148783401968.318630,41347022496.862122
148442609224.155270,46478705363.630348
148062539274.868160,51598090187.040298
147644219768.570190,56704145480.226555
147188736431.959660,61795927656.294174
146697222171.891910,66872582558.405075
146170846479.722990,71933345721.314804
145610805309.905000,76977541487.230377
145018311570.629700,82004581115.547150
144394586330.444460,87013960035.212784
143740850812.305110,92005254390.956009
143058319216.701020,96978117031.444763
142348192389.130250,101932273079.756100
141611652324.797300,106867515215.516980
140849857485.125700,111783698784.814870
140063938886.449070,116680736839.461030
139254996910.804530,121558595192.247410
138424098781.718350,126417287560.132720
137572276643.788790,131256870853.325500
136700526183.249710,136077440655.349170
135809805727.065160,140879126927.596100
134901035760.008420,145662089961.712100
133975098802.217850,150426516594.424220
133032839593.543960,155172616692.091340
132075065535.315030,159900619906.234100
131102547344.710100,164610772696.473240
130116019881.551160,169303335613.542600
129116183111.866040,173978580832.209900
128103703176.924470,178636789921.899930
127079213540.541630,183278251841.444340
126043316191.228380,187903261143.561040
124996582879.223400,192512116374.292360
123939556371.559230,197105118652.607210
122872751711.097460,201682570415.624110
121796657467.929580,206244774315.366520
120711736973.698730,210792032253.566310
119618429531.274310,215324644541.736940
118517151593.832470,219842909174.507200
117408297908.783620,224347121205.011050
116292242623.168520,228837572211.942600
115169340348.141050,233314549848.692750
114039927180.989640,237778337465.769100
112904321683.841960,242229213798.456300
111762825818.766750,246667452712.391140
110615725839.450010,251093323000.402830
109463293139.995130,255507088224.600520
108305785061.691120,259909006598.277100
107143445658.822070,264299330902.739930
105976506424.764450,268678308434.678070
104805186979.745830,273046180980.131070
103629695721.726850,277403184811.541020
102450230441.924840,281749550704.747560
101266978906.527500,286085503973.129030
100080119406.154050,290411264516.402530
98889821274.612701,294727046881.876040
97696245378.481827,299033060336.197810
96499544579.009354,303329508945.874080
95299864167.784256,307616591665.030210
94097342277.587341,311894502429.071470
92892110269.777222,316163430253.063230
91684293099.513306,320423559333.794920
90474009660.061676,324675069154.621950
89261373107.372986,328918134592.295840
88046491166.064438,333152926025.094300
86829466417.881805,337379609441.655460
85610396573.661713,341598346550.000610
84389374729.760605,345809294886.301880
83166489609.864151,350012607923.014830
81941825793.040268,354208435176.052250
80715463928.850342,358396922310.724430
79487480940.286423,362578211246.215880
78257950215.257828,366752440258.406190
77026941787.308029,370919744080.876650
75794522506.202499,375080254003.974790
74560756198.989868,379234097971.833740
73325703822.102737,383381400677.267270
72089423605.030106,387522283654.480160
70851971186.061264,391656865369.552120
69613399740.570374,395785261308.666750
68373760102.282570,399907584064.072080
67133100877.935150,404023943417.768370
65891468555.722221,408134446422.929990
64648907607.887329,412239197483.075680
63405460587.806152,416338298429.008480
62161168221.880318,420431848593.552980
60916069496.543800,424519944884.121770
59670201740.664680,428602681853.147710
58423600703.607910,432680151766.421750
57176300629.208260,436752444669.378660
55928334325.887573,440819648451.375120
54679733233.136063,444881848908.006960
53430527484.564041,448939129801.512210
52180745967.717911,452991572919.309200
50930416380.842613,457039258130.717960
49679565286.761513,461082263441.914060
48428218164.034645,465120665049.164670
47176399455.546394,469154537390.394840
45924132614.664742,473183953195.133420
44671440149.105682,477208983532.886170
43418343662.628494,481229697859.983760
42164863894.680122,485246164064.951050
40911020758.099884,489258448512.443730
39656833374.989258,493266616085.797420
38402320110.845345,497270730228.232480
37147498607.050758,501270852982.758300
35892385811.807480,505267045030.818660
34636998009.597031,509259365729.718990
33381350849.244553,513247873148.875180
32125459370.660027,517232624104.923030
30869338030.325623,521213674195.725710
29613000725.594250,525191077833.315490
28356460817.860691,529164888275.805790
27099731154.663273,533135157658.307010
25842824090.770721,537101937022.880430
24585751508.305862,541065276347.561650
23328524835.954884,545025224574.484990
22071155067.308235,548981829637.139160
20813652778.376675,552935138486.783570
19556028144.323582,556885197118.052610
18298290955.452431,560832050593.776860
17040450632.486177,564775743069.045650
15782516241.173347,568716317814.538330
14524496506.253736,572653817239.147090
13266399824.814846,576588282911.916630
12008234279.068544,580519755583.322750
10750007648.575882,584448275205.912230
9491727421.946470,588373880954.325560
8233400808.037494,592296611244.722530
6975034746.676091,596216503753.631710
5716635918.927594,600133595436.242070
4458210756.930965,604047922544.155270
3199765453.321667,607959520642.617550
1941305970.261144,611868424627.247070
682838048.091143,615774668740.274410
-575632786.369856,619678286586.312010
-1834101211.871691,623579311147.667600
-3092562105.103460,627477774799.216920
-4351010533.375567,631373709322.850340
-5609441747.598809,635267145921.507200
-6867851175.547140,639158115232.810790
-8126234415.391419,643046647342.317260
-9384587229.492065,646932771796.391240
-10642905538.439144,650816517614.719970
-11901185415.328953,654697913302.476930
-13159423080.266726,658576986862.147460
-14417614895.085567,662453765805.026120
-15675757358.272207,666328277162.396480
-16933847100.090599,670200547496.403690
-18191880877.894852,674070602910.629520
-19449855571.623352,677938469060.378910
-20707768179.466331,681804171162.687260
-21965615813.699516,685667734006.057130
-23223395696.676800,689529181959.933110
-24481105156.975258,693388538983.922850
-25738741625.686089,697245828636.771610
-26996302632.845406,701101074085.098510
-28253785803.999023,704954298111.901980
-29511188856.895744,708805523124.840580
-30768509598.303780,712654771164.297000
-32025745920.945301,716502063911.231320
-33282895800.544266,720347422694.830200
-34539957292.982910,724190868499.957640
-35796928531.562508,728032421974.413820
-37053807724.364174,731872103436.007810
-38310593151.705711,735709932879.448970
-39567283163.690636,739545929983.063600
